,Actual-P1,Actual-P2,Actual-P3,Actual-P4,Actual-P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
253,94.547,-0.14199999999999993,-113.143,46.84700000000001,67.621,92.69087219238281,8.867586135864258,-112.56214904785156,47.57999801635742,62.845611572265625
254,94.70999999999998,-0.06600000000000007,-113.19,46.918,67.583,92.77110290527344,8.988101959228516,-112.48963165283203,47.631927490234375,62.891502380371094
255,94.739,-0.08599999999999992,-113.319,46.92699999999999,67.455,92.83577728271484,9.083576202392578,-112.43231201171875,47.6740608215332,62.92880630493164
256,94.825,-0.09099999999999997,-113.445,46.987,67.379,92.79822540283203,9.024231910705566,-112.46884155273438,47.65085220336914,62.905818939208984
257,95.044,-0.016,-113.418,47.134,67.415,92.80146026611328,9.025715827941895,-112.46891021728516,47.654056549072266,62.906856536865234
258,95.157,0.013000000000000036,-113.438,47.23,67.425,92.91671752929688,9.198429107666016,-112.36539459228516,47.72887420654297,62.97433090209961
259,95.201,0.015000000000000105,-113.479,47.31000000000001,67.459,92.97111511230469,9.278514862060547,-112.3177490234375,47.764286041259766,63.005760192871094
260,95.219,0.007000000000000105,-113.45199999999998,47.45499999999999,67.497,93.00154113769531,9.323269844055176,-112.29159545898438,47.78474426269531,63.02414321899414
261,95.162,-0.07499999999999997,-113.441,47.537,67.471,93.04756164550781,9.391242980957031,-112.25132751464844,47.81474304199219,63.050907135009766
262,95.028,-0.20500000000000004,-113.459,47.59799999999999,67.437,93.02413940429688,9.355121612548828,-112.27368927001953,47.79977035522461,63.03605651855469
263,94.871,-0.3079999999999999,-113.502,47.658,67.414,92.96125793457031,9.259899139404297,-112.33207702636719,47.75993728637695,62.998870849609375
264,94.6,-0.4779999999999999,-113.591,47.68300000000001,67.323,92.8988265991211,9.164827346801758,-112.39019775390625,47.72050476074219,62.96235275268555
265,94.465,-0.49200000000000016,-113.5,47.90599999999999,67.422,92.7643814086914,8.960517883300781,-112.51419830322266,47.63465118408203,62.88268280029297
266,94.266,-0.552,-113.46300000000001,48.101,67.438,92.80158996582031,9.016702651977539,-112.48077392578125,47.658626556396484,62.90430450439453
267,93.955,-0.6900000000000001,-113.537,48.23100000000001,67.353,92.77976989746094,8.982916831970215,-112.50174713134766,47.64502716064453,62.89054870605469
268,93.717,-0.776,-113.59800000000001,48.394,67.293,92.66891479492188,8.813138008117676,-112.60494995117188,47.57445526123047,62.82429504394531
269,93.425,-0.88,-113.65199999999999,48.55800000000001,67.228,92.60073852539062,8.707979202270508,-112.66938781738281,47.53144454956055,62.7830810546875
270,93.077,-0.981,-113.742,48.719,67.133,92.51078033447266,8.569866180419922,-112.75333404541016,47.47420883178711,62.728904724121094
271,92.678,-1.084,-113.937,48.85900000000001,66.989,92.40003204345703,8.39997386932373,-112.85649108886719,47.40385818481445,62.66275405883789
272,92.251,-1.145,-114.122,49.050999999999995,66.877,92.24920654296875,8.167390823364258,-112.99784088134766,47.30794906616211,62.57295608520508
273,91.909,-1.132,-114.234,49.285999999999994,66.779,92.11992645263672,7.967129230499268,-113.1196060180664,47.225860595703125,62.49585723876953
274,91.563,-1.103,-114.323,49.528,66.663,92.05004119873047,7.8575592041015625,-113.18603515625,47.181983947753906,62.452999114990234
275,91.31700000000001,-1.019,-114.41799999999999,49.81100000000001,66.64,91.97936248779297,7.747021198272705,-113.25257873535156,47.137271881103516,62.40904235839844
276,91.094,-0.944,-114.559,50.048,66.568,91.97814178466797,7.7412872314453125,-113.2562484741211,47.13761901855469,62.407020568847656
277,90.756,-0.992,-114.821,50.15800000000001,66.38,91.95597839355469,7.703234672546387,-113.27941131591797,47.12464904785156,62.39265441894531
278,90.494,-1.0049999999999997,-115.02000000000001,50.32999999999999,66.248,91.81121826171875,7.478192329406738,-113.41619110107422,47.03279495239258,62.306396484375
279,90.343,-0.9940000000000001,-115.18300000000002,50.521,66.142,91.72676849365234,7.345098972320557,-113.49748992919922,46.97977828979492,62.25555419921875
280,90.214,-0.8660000000000001,-115.184,50.706,66.136,91.6885986328125,7.282679557800293,-113.53598022460938,46.95664596557617,62.23176193237305
281,90.054,-0.7689999999999999,-115.18499999999999,50.868,66.084,91.7201156616211,7.328719139099121,-113.50740051269531,46.97712326049805,62.24869918823242
282,89.815,-0.6810000000000002,-115.123,51.02,66.055,91.72303771972656,7.331693649291992,-113.50470733642578,46.979095458984375,62.24855422973633
283,89.627,-0.515,-114.992,51.238,66.12,91.71160125732422,7.3147172927856445,-113.51366424560547,46.97129821777344,62.23976516723633
284,89.526,-0.25200000000000017,-114.809,51.514,66.276,91.77255249023438,7.407833099365234,-113.45569610595703,47.009971618652344,62.27385711669922
285,89.383,-0.07700000000000004,-114.722,51.714999999999996,66.369,91.9146728515625,7.624311447143555,-113.32272338867188,47.1007194519043,62.35576248168945
286,89.25,0.0710000000000001,-114.679,51.86900000000001,66.407,91.98648834228516,7.733241081237793,-113.25538635253906,47.14656066894531,62.39706039428711
287,89.072,0.14100000000000004,-114.71200000000002,51.986,66.356,92.02926635742188,7.797621250152588,-113.21537017822266,47.173927307128906,62.42105484008789
288,89.00400000000002,0.3100000000000002,-114.74799999999999,52.199,66.399,92.00962829589844,7.766180038452148,-113.23368072509766,47.16132736206055,62.40815353393555
289,88.83299999999998,0.392,-114.84200000000001,52.332,66.367,92.07853698730469,7.868326663970947,-113.17155456542969,47.20623016357422,62.447933197021484
290,88.773,0.5540000000000004,-114.893,52.51199999999999,66.386,92.0628662109375,7.841909408569336,-113.18721008300781,47.196773529052734,62.438133239746094
