P1,P2,P3,P4,P5
38.596924,-21.598204,-139.300648,5.905328,50.769732
38.557892,-21.554284,-139.228416,5.853584,50.727752
38.50764,-21.659692,-139.333836,5.73838,50.73654
38.594972,-21.594788,-139.265504,5.803304,50.778528
38.623268,-21.6065,-139.232324,5.848704,50.7463
38.625708,-21.609428,-139.269896,5.787196,50.7756
38.60132,-21.639196,-139.225,5.778896,50.776576
38.563264,-21.649444,-139.282592,5.77548,50.75412
38.556428,-21.659204,-139.303576,5.769624,50.744356
38.72572,-21.493284,-139.118104,5.920464,50.94012
38.594972,-21.593324,-139.236708,5.851144,50.800496
38.6179,-21.5821,-139.18058,5.88922,50.855168
38.647176,-21.578196,-139.180092,5.86286,50.836128
38.640832,-21.623092,-139.230372,5.836988,50.832228
38.698888,-21.554772,-139.149828,5.842356,50.895684
38.561308,-21.707028,-139.268432,5.745704,50.7175
38.576436,-21.647492,-139.247448,5.826736,50.818068
38.552528,-21.685556,-139.32456,5.771576,50.731172
38.542772,-21.670428,-139.23866,5.758884,50.807332
38.471052,-21.773396,-139.321632,5.692492,50.691136
38.45788,-21.777788,-139.33628,5.667112,50.673076
38.43398,-21.790964,-139.373852,5.682732,50.675032
38.429588,-21.811948,-139.417296,5.648072,50.661852
38.378852,-21.859284,-139.42412,5.599256,50.629144
38.360796,-21.876852,-139.401184,5.582172,50.62524
38.499352,-21.729476,-139.323584,5.729592,50.737032
38.421776,-21.829028,-139.38264,5.674432,50.659404
38.49984,-21.694828,-139.319688,5.703724,50.753144
38.372992,-21.808044,-139.442676,5.568992,50.628648
38.372016,-21.81878,-139.429004,5.614388,50.634996
38.449592,-21.814388,-139.415344,5.650024,50.665752
38.399824,-21.869532,-139.442188,5.631964,50.652576
38.412024,-21.803164,-139.3802,5.695912,50.678936
38.413488,-21.856356,-139.411436,5.583636,50.61596
38.530092,-21.769492,-139.3558,5.696888,50.735564
38.488616,-21.767052,-139.370936,5.695912,50.72824
38.514476,-21.799748,-139.36068,5.633428,50.71604
38.4852,-21.82122,-139.394848,5.70226,50.718476
38.505208,-21.80414,-139.365076,5.664668,50.72824
38.486664,-21.831956,-139.336756,5.656372,50.744356
38.566676,-21.791452,-139.339208,5.721784,50.747772
38.447636,-21.84806,-139.431932,5.68322,50.718968
38.488616,-21.853916,-139.401184,5.68322,50.701884
38.4852,-21.824636,-139.423144,5.621712,50.68772
38.45398,-21.83342,-139.40558,5.662716,50.69456
38.5213,-21.83586,-139.442676,5.648072,50.706764
38.523256,-21.82366,-139.415832,5.651488,50.711156
38.645708,-21.725084,-139.323584,5.778896,50.823436
38.602288,-21.7163,-139.348476,5.763276,50.841992
38.545696,-21.758756,-139.237684,5.789636,50.788288
38.49496,-21.773396,-139.382152,5.734476,50.787804
38.525696,-21.793892,-139.398756,5.67834,50.84052
38.566676,-21.786572,-139.295764,5.766204,50.832716
38.560332,-21.736796,-139.321144,5.802816,50.857604
